Size,Type,BubbleSortTime,MergeSortTime,QuickSortTime,Status
880,sorted,0.22434,0.57076,0.28564,Success
880,partially_sorted,0.3257,0.50502,0.02314,Success
880,reverse_sorted,0.49642,0.52506,0.2597,Success
890,random,0.42834,0.52936,0.0205,Success
890,sorted,0.20286,0.51336,0.2553,Success
890,partially_sorted,0.33078,0.52794,0.02326,Success
890,reverse_sorted,0.49854,0.49666,0.2585,Success
900,random,0.4408,0.54644,0.02022,Success
900,sorted,0.2094,0.52036,0.25936,Success
900,partially_sorted,0.32188,0.51332,0.02264,Success
900,reverse_sorted,0.5187,0.5213,0.26504,Success
910,random,0.44098,0.5305,0.01936,Success
910,sorted,0.21208,0.61778,0.27128,Success
910,partially_sorted,0.32474,0.51814,0.02024,Success
910,reverse_sorted,0.52142,0.50194,0.26876,Success
920,random,0.45054,0.56166,0.02032,Success
920,sorted,0.21986,0.53198,0.27266,Success
920,partially_sorted,0.36386,0.5521,0.0173,Success
920,reverse_sorted,0.52854,0.51748,0.2702,Success
930,random,0.46668,0.56116,0.02068,Success
930,sorted,0.22274,0.5347,0.27798,Success
930,partially_sorted,0.35464,0.54,0.02186,Success
930,reverse_sorted,0.53826,0.62594,0.27982,Success
940,random,0.47112,0.5596,0.02366,Success
940,sorted,0.22838,0.54724,0.28398,Success
940,partially_sorted,0.36586,0.53394,0.02284,Success
940,reverse_sorted,0.56614,0.53654,0.28672,Success
950,random,0.48818,0.56284,0.02196,Success
950,sorted,0.23654,0.62328,0.33214,Success
950,partially_sorted,0.36278,0.5579,0.02908,Success
950,reverse_sorted,0.56612,0.54144,0.28854,Success
960,random,0.48536,0.59156,0.02334,Success
960,sorted,0.2357,0.56114,0.2966,Success
960,partially_sorted,0.43118,0.58716,0.02234,Success
960,reverse_sorted,0.58176,0.56656,0.29874,Success
970,random,0.59634,0.70138,0.0305,Success
970,sorted,0.27014,0.5526,0.33978,Success
970,partially_sorted,0.43272,0.56634,0.03666,Success
970,reverse_sorted,0.61754,0.56482,0.31514,Success
980,random,0.55986,0.5765,0.02636,Success
980,sorted,0.2771,0.55914,0.31644,Success
980,partially_sorted,0.45092,0.58716,0.02884,Success
980,reverse_sorted,0.63794,0.57704,0.33118,Success
990,random,0.5527,0.6002,0.03254,Success
990,sorted,0.26786,0.57544,0.31736,Success
990,partially_sorted,0.40822,0.59582,0.04578,Success
990,reverse_sorted,0.63934,0.58226,0.32986,Success
