Size,Type,BubbleSortTime,MergeSortTime,QuickSortTime,Status
880,reverse_sorted,0.47706,0.10626,0.2327,Success
890,random,0.42584,0.13646,0.02028,Success
890,sorted,0.20098,0.1328,0.25152,Success
890,partially_sorted,0.30354,0.11654,0.0216,Success
890,reverse_sorted,0.49012,0.10856,0.23602,Success
900,random,0.43404,0.13904,0.02122,Success
900,sorted,0.20518,0.11002,0.25748,Success
900,partially_sorted,0.31894,0.1177,0.02246,Success
900,reverse_sorted,0.50328,0.10916,0.2441,Success
910,random,0.4571,0.14066,0.02124,Success
910,sorted,0.2094,0.11084,0.26324,Success
910,partially_sorted,0.33196,0.11874,0.01282,Success
910,reverse_sorted,0.51116,0.1098,0.25338,Success
920,random,0.45024,0.14288,0.02258,Success
920,sorted,0.2142,0.1114,0.2686,Success
920,partially_sorted,0.34958,0.1194,0.01318,Success
920,reverse_sorted,0.52726,0.11168,0.25278,Success
930,random,0.475,0.14506,0.02122,Success
930,sorted,0.21928,0.1124,0.2744,Success
930,partially_sorted,0.34478,0.12484,0.01584,Success
930,reverse_sorted,0.53408,0.11404,0.2578,Success
940,random,0.489,0.14652,0.0218,Success
940,sorted,0.22366,0.11378,0.2804,Success
940,partially_sorted,0.33782,0.12316,0.01456,Success
940,reverse_sorted,0.5496,0.11484,0.26324,Success
950,random,0.47782,0.14446,0.02134,Success
950,sorted,0.22866,0.11494,0.28646,Success
950,partially_sorted,0.36314,0.12738,0.01974,Success
950,reverse_sorted,0.56584,0.1205,0.2693,Success
960,random,0.50858,0.14808,0.02242,Success
960,sorted,0.23338,0.1162,0.3004,Success
960,partially_sorted,0.37424,0.12538,0.02102,Success
960,reverse_sorted,0.58042,0.11778,0.2738,Success
970,random,0.49766,0.14744,0.02278,Success
970,sorted,0.23848,0.11736,0.30056,Success
970,partially_sorted,0.36346,0.12776,0.02,Success
970,reverse_sorted,0.5875,0.12272,0.27934,Success
980,random,0.50938,0.16644,0.0236,Success
980,sorted,0.24288,0.11894,0.3077,Success
980,partially_sorted,0.37256,0.12876,0.02302,Success
980,reverse_sorted,0.59952,0.11916,0.28546,Success
990,random,0.51624,0.15074,0.02184,Success
990,sorted,0.24766,0.12058,0.3111,Success
990,partially_sorted,0.39408,0.13006,0.01598,Success
990,reverse_sorted,0.60992,0.12204,0.29082,Success
1000,random,0.52566,0.15202,0.0229,Success
1000,sorted,0.25268,0.1208,0.31684,Success
1000,partially_sorted,0.40314,0.13406,0.02554,Success
1000,reverse_sorted,0.62034,0.12118,0.29864,Success
1010,random,0.53316,0.15288,0.02318,Success
1010,sorted,0.2577,0.1238,0.32354,Success
1010,partially_sorted,0.38864,0.13294,0.02988,Success
1010,reverse_sorted,0.63536,0.12274,0.30272,Success
1020,random,0.54668,0.15532,0.02302,Success
1020,sorted,0.31112,0.16716,0.40496,Success
1020,partially_sorted,0.40956,0.13432,0.0178,Success
1020,reverse_sorted,0.64864,0.123,0.31142,Success
1030,random,0.55388,0.15968,0.0255,Success
1030,sorted,0.2683,0.12496,0.33556,Success
1030,partially_sorted,0.43894,0.13716,0.02144,Success
1030,reverse_sorted,0.66284,0.12654,0.3152,Success
1040,random,0.56272,0.15884,0.02354,Success
1040,sorted,0.27282,0.12634,0.34226,Success
1040,partially_sorted,0.4562,0.14382,0.02582,Success
1040,reverse_sorted,0.66978,0.13032,0.32334,Success
1050,random,0.5741,0.16308,0.02324,Success
1050,sorted,0.28942,0.1543,0.34828,Success
1050,partially_sorted,0.41374,0.13976,0.01396,Success
1050,reverse_sorted,0.68496,0.16494,0.3272,Success
1060,random,0.59554,0.16308,0.02476,Success
1060,sorted,0.2835,0.1289,0.35534,Success
1060,partially_sorted,0.44324,0.13986,0.02084,Success
1060,reverse_sorted,0.6948,0.12954,0.33594,Success
1070,random,0.5958,0.1641,0.02348,Success
1070,sorted,0.28858,0.13012,0.36194,Success
1070,partially_sorted,0.44296,0.14134,0.01948,Success
1070,reverse_sorted,0.71534,0.13218,0.34066,Success
1080,random,0.60582,0.16456,0.02298,Success
1080,sorted,0.29464,0.13232,0.36986,Success
1080,partially_sorted,0.46456,0.14234,0.02976,Success
1080,reverse_sorted,0.73158,0.1382,0.3475,Success
1090,random,0.6159,0.16754,0.028,Success
1090,sorted,0.31298,0.13578,0.37482,Success
1090,partially_sorted,0.47282,0.14408,0.01664,Success
1090,reverse_sorted,0.73902,0.13218,0.35342,Success
1100,random,0.62244,0.16864,0.0268,Success
1100,sorted,0.3048,0.13326,0.38252,Success
1100,partially_sorted,0.46748,0.14592,0.01506,Success
1100,reverse_sorted,0.7568,0.13906,0.3594,Success
1110,random,0.63552,0.17034,0.02578,Success
1110,sorted,0.31038,0.13588,0.39184,Success
1110,partially_sorted,0.50314,0.1504,0.01952,Success
1110,reverse_sorted,0.76424,0.1356,0.366,Success
1120,random,0.63946,0.17182,0.02612,Success
1120,sorted,0.33254,0.1492,0.39556,Success
1120,partially_sorted,0.49362,0.14876,0.01682,Success
1120,reverse_sorted,0.78312,0.13656,0.37142,Success
1130,random,0.67512,0.17634,0.027,Success
1130,sorted,0.32642,0.13752,0.40272,Success
1130,partially_sorted,0.5117,0.15012,0.0244,Success
1130,reverse_sorted,0.79918,0.13824,0.37814,Success
1140,random,0.66582,0.17472,0.02634,Success
1140,sorted,0.32712,0.14016,0.41182,Success
1140,partially_sorted,0.53932,0.15728,0.02352,Success
1140,reverse_sorted,0.80848,0.13904,0.38388,Success
1150,random,0.70884,0.17916,0.02726,Success
1150,sorted,0.35152,0.14088,0.41702,Success
1150,partially_sorted,0.52162,0.15496,0.0321,Success
1150,reverse_sorted,0.82506,0.14026,0.3904,Success
1160,random,0.69026,0.19038,0.02846,Success
1160,sorted,0.33832,0.14488,0.42516,Success
1160,partially_sorted,0.54426,0.1542,0.02108,Success
1160,reverse_sorted,0.83624,0.1478,0.39924,Success
1170,random,0.70042,0.1799,0.02696,Success
1170,sorted,0.34568,0.14218,0.43154,Success
1170,partially_sorted,0.5437,0.15502,0.0163,Success
1170,reverse_sorted,0.85892,0.14664,0.40382,Success
1180,random,0.71502,0.18586,0.0295,Success
1180,sorted,0.35022,0.14416,0.43982,Success
1180,partially_sorted,0.54396,0.156,0.01912,Success
1180,reverse_sorted,0.86592,0.14398,0.412,Success
1190,random,0.72436,0.1823,0.0278,Success
1190,sorted,0.35698,0.14618,0.44618,Success
1190,partially_sorted,0.55994,0.15672,0.01618,Success
1190,reverse_sorted,0.8865,0.14542,0.41728,Success
1200,random,0.73358,0.1924,0.02968,Success
1200,sorted,0.36232,0.14882,0.45478,Success
1200,partially_sorted,0.56508,0.15992,0.02376,Success
1200,reverse_sorted,0.90584,0.14748,0.42444,Success
1210,random,0.7397,0.18528,0.02754,Success
1210,sorted,0.36816,0.14686,0.46432,Success
1210,partially_sorted,0.58302,0.16082,0.01984,Success
1210,reverse_sorted,0.92758,0.14884,0.43162,Success
1220,random,0.75274,0.1878,0.02746,Success
1220,sorted,0.37406,0.14804,0.47002,Success
1220,partially_sorted,0.60834,0.16738,0.03478,Success
1220,reverse_sorted,0.93358,0.14832,0.43796,Success
1230,random,0.7811,0.20588,0.03094,Success
1230,sorted,0.3807,0.14946,0.477,Success
1230,partially_sorted,0.62822,0.16542,0.01966,Success
1230,reverse_sorted,0.96804,0.15358,0.44712,Success
1240,random,0.77628,0.19188,0.02906,Success
1240,sorted,0.38662,0.157,0.48862,Success
1240,partially_sorted,0.62546,0.1638,0.01922,Success
1240,reverse_sorted,0.96662,0.15136,0.45544,Success
1250,random,0.78588,0.1957,0.0312,Success
1250,sorted,0.3929,0.15254,0.49868,Success
1250,partially_sorted,0.61568,0.17978,0.02164,Success
1250,reverse_sorted,1.00264,0.1542,0.46534,Success
1260,random,0.80636,0.194,0.03138,Success
1260,sorted,0.41568,0.15568,0.50914,Success
1260,partially_sorted,0.64118,0.17142,0.02194,Success
1260,reverse_sorted,1.00722,0.15558,0.47314,Success
1270,random,0.83162,0.19916,0.03162,Success
1270,sorted,0.40592,0.1687,0.5193,Success
1270,partially_sorted,0.6198,0.17452,0.03004,Success
1270,reverse_sorted,1.02552,0.15864,0.4841,Success
1280,random,0.82834,0.20092,0.03232,Success
1280,sorted,0.41206,0.15786,0.53878,Success
1280,partially_sorted,0.66596,0.17438,0.02582,Success
1280,reverse_sorted,1.03774,0.1562,0.49692,Success
1290,random,0.83608,0.19704,0.02932,Success
1290,sorted,0.42144,0.15724,0.52312,Success
1290,partially_sorted,0.69092,0.1742,0.03988,Success
1290,reverse_sorted,1.07058,0.16604,0.49076,Success
1300,random,0.85226,0.2069,0.0321,Success
1300,sorted,0.42476,0.16144,0.53148,Success
1300,partially_sorted,0.68168,0.19822,0.03162,Success
1300,reverse_sorted,1.0564,0.15922,0.49662,Success
1310,random,0.86128,0.20452,0.03144,Success
1310,sorted,0.4348,0.16674,0.53962,Success
1310,partially_sorted,0.69944,0.17562,0.02902,Success
1310,reverse_sorted,1.0691,0.15962,0.51366,Success
1320,random,0.8796,0.21016,0.034,Success
1320,sorted,0.44122,0.18136,0.57416,Success
1320,partially_sorted,0.72636,0.17434,0.02648,Success
1320,reverse_sorted,1.10396,0.1639,0.51406,Success
1330,random,0.88186,0.20398,0.03038,Success
1330,sorted,0.46544,0.1923,0.55704,Success
1330,partially_sorted,0.69968,0.17604,0.02214,Success
1330,reverse_sorted,1.11732,0.17416,0.52104,Success
1340,random,0.90268,0.24234,0.0324,Success
1340,sorted,0.47904,0.16346,0.56648,Success
1340,partially_sorted,0.71574,0.18052,0.02146,Success
1340,reverse_sorted,1.12906,0.16252,0.5299,Success
1350,random,0.92302,0.21276,0.0342,Success
1350,sorted,0.4599,0.16408,0.5771,Success
1350,partially_sorted,0.752,0.19774,0.02106,Success
1350,reverse_sorted,1.14122,0.16394,0.53684,Success
1360,random,0.93904,0.21176,0.03438,Success
1360,sorted,0.4722,0.16896,0.5824,Success
1360,partially_sorted,0.71276,0.18144,0.02598,Success
1360,reverse_sorted,1.1659,0.16692,0.54386,Success
1370,random,0.94826,0.21776,0.03446,Success
1370,sorted,0.47586,0.1702,0.5909,Success
1370,partially_sorted,0.76378,0.18562,0.029,Success
1370,reverse_sorted,1.17822,0.16594,0.55188,Success
1380,random,0.94802,0.2127,0.03422,Success
1380,sorted,0.47844,0.1677,0.60328,Success
1380,partially_sorted,0.74918,0.18522,0.02182,Success
1380,reverse_sorted,1.21336,0.1698,0.56088,Success
1390,random,0.96356,0.2156,0.03424,Success
1390,sorted,0.48622,0.16928,0.608,Success
1390,partially_sorted,0.80838,0.18552,0.02362,Success
1390,reverse_sorted,1.22116,0.16944,0.56702,Success
1400,random,0.97276,0.22866,0.03536,Success
1400,sorted,0.4923,0.17034,0.6167,Success
1400,partially_sorted,0.78824,0.18566,0.02712,Success
1400,reverse_sorted,1.22958,0.17068,0.57558,Success
1410,random,0.9956,0.23112,0.03696,Success
1410,sorted,0.60778,0.2075,0.77922,Success
1410,partially_sorted,0.77516,0.18334,0.02872,Success
1410,reverse_sorted,1.26874,0.17798,0.59798,Success
1420,random,1.00706,0.21896,0.03564,Success
1420,sorted,0.52228,0.17622,0.63456,Success
1420,partially_sorted,0.79444,0.19018,0.03586,Success
1420,reverse_sorted,1.2697,0.17628,0.59444,Success
1430,random,1.00956,0.22192,0.0367,Success
1430,sorted,0.51348,0.17802,0.67404,Success
1430,partially_sorted,0.78528,0.1927,0.02804,Success
1430,reverse_sorted,1.28978,0.17874,0.60276,Success
1440,random,1.03192,0.22262,0.03416,Success
1440,sorted,0.52164,0.18392,0.6516,Success
1440,partially_sorted,0.80006,0.19172,0.02692,Success
1440,reverse_sorted,1.29472,0.17508,0.6078,Success
1450,random,1.042,0.22242,0.03532,Success
1450,sorted,0.52812,0.17714,0.66002,Success
1450,partially_sorted,0.84262,0.19498,0.03104,Success
